0, SSI1112, GERM101, OT101, FREN101, ARAB101, SSI1187, ECON170, FREN201
1, MATH160, SOAN102, SSI1134, BIOL111, ECON170, FREN210, STS201, SPAN101
2, SPAN101, MATH160, FREN201, CHEM110, SSI1134, BIOL111, SOAN101, SSI1190
3, CHEM110, SPAN201, ARTS147, SSI1176, MUS101, SSI1190, SPAN101, MATH160
4, ECON170, CHEM115, SPAN201, FREN101, SSI1135, GEOL101, SSI1117, ARAB101
5, SOAN101, SPAN201, PG104, SSI1141, MUS105, OT101, SSI1165, MATH180
6, MUS105, HIST153, ENGL212, PG104, CHIN101, SPAN201, SSI1186, SSI1141
7, SSI1144, SPAN201, SSI1177, PG101, SSI1108, REL211, SSI1171, FREN101
8, AFAM210, MATH290, SPAN203, SSI1112, ECON170, MATH280, AFAM101, SPAN101
9, SPAN101, BUS101, CHEM110, SSI1118, LAT101, ENGL212, ECON170, SSI1128
10, CHEM110, PG103, SSI1124, FREN101, SSI1138, ECON170, SPAN101, COMM170
11, CHEM110, MATH160, HIST153, LAS100, SSI1138, MUS126, MATH280, ENGL212
12, FREN101, HIST153, GEOL101, CHEM110, ECON170, PG101, ARTH276, CLSC211
13, MATH160, COMM170, SPAN101, CSCI161, MATH181, MATH180, SSI1104, MUS105
14, SSI1128, LTS200, MUS126, LAT101, FREN210, ENVR101, PHIL101, ENGL212
15, ECON170, SSI1172, REL201, SSI1104, JAPN101, MUS103, ARTS101, SPAN101
16, SSI1138, COMM170, SPAN101, MATH180, SOAN295, ECON170, SSI1129, MATH160
17, SSI1176, HIST291, IPE201, CHEM110, SPAN101, MATH181, ENGL212, SPAN201
18, SSI1104, OT101, IPE201, PSYC101, BIOL111, PHIL101, PG101, SPAN201
19, SSI1135, MATH160, CHEM110, SSI1165, SPAN201, LTS200, PHIL224, MATH260
20, CHEM110, MUS103, MATH160, PSYC101, SSI1141, SOAN102, SSI1165, SSI1118
21, SSI1176, SSI1108, OT101, MUS101, ECON170, SSI1187, CHEM110, COMM170
22, ECON170, GQS201, SSI1177, CLSC211, SSI1135, LAT101, SSI1141, ENGL212
23, SSI1177, BIOL111, MUS101, BUS101, LAS100, PSYC101, SPAN300, JAPN101
24, ENGL212, SPAN201, SPAN101, SSI1141, ARAB101, SSI1138, SSI1129, CHEM110
25, PHIL101, COMM156, FREN101, OT101, MATH181, ARTS147, SPAN204, SSI1117
26, MATH160, SSI1128, AFAM101, SPAN101, MATH280, CHEM115, CHEM110, BIOL111
27, GEOL101, BUS101, MUS103, CHEM110, PG102, SSI1129, AFAM101, MUS101
28, SSI1175, HIST245, SSI1134, HIST102, MATH160, FREN240, FREN101, CSCI161
29, MUS101, FREN201, PG101, SSI1129, BUS101, IPE201, MATH110, PG102
30, GRK101, BIOL101, HIST291, LAS100, CHEM110, SSI1144, MATH160, FREN201
31, HIST153, CHEM110, SOAN202, PHYS121, SSI1187, BUS101, PSYC101, PSYC265
32, BIOL112, BIOL111, SSI1141, SSI1179, SSI1165, CHEM110, SSI1134, SSI1104
33, ARTS101, CHIN201, CHEM115, CHEM110, PHIL224, REL211, SOAN295, SSI1190
34, PG104, CHEM110, PSYC101, SSI1117, SSI1104, SOAN101, STS201, MATH180
35, SPAN203, SPAN201, BIOL111, CHEM110, ARTH276, SOAN101, SSI1104, SPAN101
36, MATH160, SPAN101, SSI1112, SSI1165, HIST230, IPE201, SOAN101, FREN101
37, GEOL101, MATH181, SSI1190, SSI1112, MATH180, SOAN101, SSI1195, CHEM110
38, BIOL111, JAPN101, PSYC101, SOAN101, CHEM115, LAT101, SSI1195, PHIL228
39, SSI1195, SSI1190, IPE201, SSI1138, REL204, PG103, SSI1187, MATH160
40, REL204, SSI1104, BIOL112, CHEM110, MATH160, PHYS109, REL201, SSI1179
41, CHIN101, REL211, IPE201, SSI1175, HIST102, CHEM110, MATH160, MATH260
42, SOAN101, SSI1175, PHIL224, ARAB101, PSYC101, PHYS121, SSI1128, CLSC211
43, SSI1144, ECON170, SPAN201, ARAB201, SSI1124, BUS101, HIST291, PG101
44, ECON170, MUS103, MUS101, SSI1195, PG101, GEOL101, CLSC211, FREN201
45, AFAM101, GERM101, CHEM115, PG102, SSI1129, CHIN101, PHIL229, SSI1134
46, ECON170, SSI1108, SSI1177, SSI1128, HIST245, ENGL212, CLSC211, FREN240
47, SSI1118, CHEM110, PG104, PG103, GEOL101, IPE201, OT101, SPAN101
48, STS201, MUS101, SSI1160, SPAN101, BIOL111, SSI1117, BUS101, MATH160
49, SSI1175, IPE191, CHIN201, SSI1179, MATH160, SSI1117, PSYC101, SPAN204
50, MATH160, SSI1187, CHEM110, SSI1175, PHYS121, SPAN204, SSI1141, SSI1135
51, PG102, PHYS121, SSI1124, CHEM110, HIST153, SSI1172, MATH160, MUS103
52, SSI1141, PSYC101, IPE201, BIOL111, SSI1138, SSI1134, SPAN203, SSI1177
53, CHEM110, SPAN300, SOAN101, IPE201, MUS103, SSI1181, PG102, MATH160
54, COMM181, MATH180, MUS101, ALC225, HIST102, SSI1128, ECON170, SSI1195
