6732902, SPAN201, ARAB201, CHEM110, GERM101, LTS200, PSYC101
6738022, SPAN201, REL204, PG104, MATH180, GERM101, CHEM110
6987882, HIST230, HIST153, PHIL101, MATH180, GERM101, CHEM110
6831209, ARTS147, PG104, GERM201, HIST245, REL204, PSYC101
6733924, BIOL111, CHEM110, SPAN101, PG101, MATH180, PHIL224
6738020, SPAN101, FREN101, CHEM110, ECON170, SPAN203, MATH180
6817900, SPAN203, ENGL199, COMM170, JAPN101, SOAN101, IPE201
6820972, FREN101, PSYC101, SPAN204, SPAN101, COMM170, CHEM110
6731873, CHEM110, MUS101, PG102, IPE201, MATH180, PHIL101
6759520, ECON170, HIST230, MATH181, CHEM110, IPE191, CHIN101
6860897, SPAN101, PG101, MATH260, PG103, IPE191, MATH160
6732908, ECON170, GERM201, OT101, ENGL212, CSCI161, MATH160
7172193, SPAN101, MATH180, MATH280, MATH181, SPAN201, GRK101
7172192, MATH180, MATH181, PG102, BUS101, CHEM110, MATH160
6738025, IPE201, PSYC101, MATH160, MATH180, FREN101, CHEM110
6748265, PG103, MUS235, GEOL101, CHEM110, LTS200, MATH160
6831224, PHIL101, MUS126, ENGL212, CSCI161, IPE191, BUS101
6830202, IPE201, OT101, ECON170, MATH160, SOAN101, HIST230
7164025, HIST291, SPAN101, PSYC101, OT101, REL211, PG103
6795389, PG102, PG101, CLSC211, MATH180, LAS100, HIST153
7161969, LTS200, CHEM110, MUS103, MATH160, ARTS101, IPE191
2497592, CHIN101, GRK101, SOAN101, HIST153, PHIL101, ENGL245
6962292, MATH160, SPAN201, HIST153, ECON170, MATH181, MATH290
7161970, BIOL111, CHEM110, FREN210, SPAN101, ECON170, MATH180
2498564, FREN240, SPAN101, AFAM101, CHEM110, REL211, GERM101
6733892, MATH181, CHEM110, MATH160, PSYC101, ENVR101, FREN201
6744130, THTR200, AFAM101, HIST245, LAT101, ENGL212, PG101
6808640, BIOL111, ENGL220, SPAN203, ECON170, MATH260, ENVR101
6817861, MATH180, BUS101, GERM101, HIST153, PG103, CHEM115
6731849, CSCI161, PHIL101, GEOL101, SPAN203, CHEM110, ECON170
7168093, MATH160, IPE201, BIOL112, ENGL245, SPAN201, FREN240
7166040, PG102, SPAN201, MATH160, ECON170, MUS103, MATH290
6731869, BIOL112, PHIL101, MUS105, COMM181, GEOL101, ENGL212
7172182, MUS101, ECON170, IPE201, SPAN201, HIST153, PG101
6925397, BUS101, MATH160, PG103, ENGL212, PSYC101, PHIL101
7108689, CHEM115, MUS101, OT101, HIST291, SOAN101, CHEM110
6830166, PG103, SPAN201, CHEM110, ARTS147, ECON170, MATH181
6794278, ECON170, SOAN101, IPE201, MATH160, CSCI161, BIOL111
6925352, CHIN201, ECON170, CHEM115, SPAN201, CHEM110, PG104
6731813, CHIN101, JAPN101, PSYC101, ECON170, CSCI161, MUS103
7108649, ARAB101, MATH160, BIOL111, GERM101, CHIN101, SPAN201
7109673, PHYS121, ARAB101, CWLT100, MATH180, MATH160, SPAN101
6767662, CSCI161, PG103, SOAN101, MUS103, GEOL101, REL204
6777898, CSCI161, ECON170, COMM170, JAPN101, GEOL101, ARAB201
6740017, MATH180, FREN210, FREN101, ARTH276, SPAN201, PHIL101
6732862, MATH181, ECON170, COMM181, MUS103, MATH160, IPE201
7163957, CSCI261, MUS101, MATH160, SOAN295, IPE201, MUS126
6740029, GEOL101, BIOL112, MATH160, ECON170, CHEM110, PSYC101
6733881, GEOL101, MUS126, CHEM110, MUS105, FREN201, SPAN101
6732805, SPAN201, JAPN201, SPAN101, CHEM110, REL204, ECON170
6831117, BIOL112, SPAN204, HIST153, BIOL111, CWLT100, MATH180
7168008, SPAN201, PHYS121, PG102, MUS101, FREN240, REL201
7161860, BIOL111, PG101, ENGL245, MUS103, BUS101, CLSC211
6733837, MATH180, ECON170, FREN101, SPAN300, PG103, CSCI161
7161856, MATH180, SPAN101, ENGL212, PSYC101, SPAN210, MATH160
7168029, CHEM110, ARTS147, AFAM101, LTS200, BIOL111, PHIL101
6738965, ECON170, ARAB101, MATH180, GEOL101, SOAN101, MATH160
6830108, CHEM115, PG102, THTR200, COMM170, SPAN201, CHIN201
6734878, MUS103, MATH160, HIST102, MATH280, PG103, CWLT100
6738973, ECON170, JAPN301, PG104, GERM101, PG102, PHIL101
7134225, SPAN203, IPE201, CSCI161, PSYC225, GEOL101, MUS101
