6732902, GQS201, CHIN101, FREN101, SPAN201, PHYS121, MUS126
6738022, CHIN101, HIST153, GQS201, ECON170, MATH180, CHIN201
6987882, MUS101, MATH160, BIOL111, LAS100, COMM170, PHIL224
6831209, MUS103, IPE201, PHIL224, SPAN101, PG102, CHEM110
6733924, MUS103, FREN240, SPAN101, MATH180, MATH181, BIOL111
6738020, PG103, MATH160, ARAB101, MATH180, BIOL111, PHIL101
6817900, BIOL111, MATH160, ENGL199, FREN210, ENGL245, MUS103
6820972, PG104, SOAN101, STS201, MUS101, CHEM110, MATH110
6731873, CHEM110, MATH160, COMM170, SPAN204, FREN210, MATH180
6759520, CLSC211, BIOL111, COMM156, FREN210, HIST102, CHEM110
6860897, MUS101, MUS105, GERM101, IPE191, PSYC101, SPAN201
6732908, SPAN300, PG104, CSCI161, ENGL212, CHEM110, PHYS121
7172193, GEOL101, PG103, MATH280, SPAN300, MATH160, CHEM110
7172192, AFAM101, PG104, MATH280, SPAN201, CHEM250, SPAN101
6738025, LAS100, MATH180, MATH160, FREN101, MUS101, PG104
6748265, CLSC211, GEOL101, PG104, CHEM110, SPAN201, ARTS102
6831224, CHEM110, BIOL112, BUS101, ARTS147, PG102, SOAN101
6830202, MUS103, SPAN101, PG103, MATH180, ARTH276, MUS101
7164025, PSYC225, HIST153, SPAN101, BUS101, MATH180, PG104
6795389, CHEM110, GEOL101, REL211, IPE191, AFAM101, MATH290
7161969, FREN210, PG103, SOAN101, MATH180, LAS100, PSYC101
2497592, CHEM250, IPE201, PHYS121, CSCI161, MATH180, ECON170
6962292, CHEM110, HIST153, SPAN201, MUS101, REL211, SOAN101
7161970, ENGL220, PG103, BUS101, HIST102, ECON170, PHIL281
2498564, ECON170, FREN240, MATH160, CSCI161, SPAN201, MATH180
6733892, MATH110, MATH160, MATH280, LTS200, MATH181, HIST153
6744130, SOAN101, BIOL111, LAT101, MATH160, SPAN201, MUS101
6808640, CHEM110, GEOL101, LAS100, CHEM115, MATH160, SOAN101
6817861, MATH160, MATH181, PSYC101, PHYS109, FREN240, ENGL199
6731849, CHEM110, SOAN101, LTS200, ENGL212, MATH160, GERM101
7168093, CSCI161, BIOL111, MATH160, MATH181, CHEM110, HIST224
7166040, MATH180, CHEM110, LAS100, GERM101, PG103, COMM181
6731869, MATH180, IPE201, BIOL111, BUS101, MATH160, CHEM110
7172182, ECON170, MUS101, SPAN201, BIOL111, MATH280, PSYC101
6925397, OT101, SPAN201, FREN201, ECON170, JAPN101, AFAM101
7108689, PHIL215, MUS126, BIOL112, LAS100, MUS101, GERM101
6830166, SPAN101, MATH180, GERM101, PG103, CHEM110, JAPN101
6794278, GEOL101, AFAM101, HIST224, MATH180, REL204, CLSC211
6925352, MATH180, PG103, BUS101, SPAN204, HIST102, MATH160
6731813, PHIL224, MATH160, CHIN101, MUS101, ARAB101, SPAN203
7108649, MATH180, ECON170, MUS101, CHEM110, SPAN101, FREN101
7109673, CSCI161, SPAN201, JAPN101, PG102, PG103, HIST230
6767662, MATH260, ARTS147, ENGL212, CHEM110, CHEM115, MUS103
6777898, SPAN201, CHEM110, SPAN300, CLSC211, MATH160, PSYC101
6740017, CWLT100, SPAN101, REL211, BIOL111, CHEM110, ECON170
6732862, BIOL112, COMM156, MATH160, PHIL215, SPAN201, HIST102
7163957, HIST102, CHIN101, CSCI161, CHEM110, BIOL112, CHEM115
6740029, MATH160, ECON170, ARTH276, PG104, JAPN101, FREN201
6733881, ALC225, MUS230, SPAN201, SPAN101, MUS105, ENGL212
6732805, ARTS101, ECON170, MATH180, SPAN201, GRK101, CWLT100
6831117, CHEM110, BIOL111, PHIL101, MATH180, MATH110, OT101
7168008, BIOL112, IPE201, HIST230, COMM181, CHEM110, HIST153
7161860, PG104, GERM101, BIOL111, IPE201, CHEM110, BIOL112
6733837, ENVR101, ARAB101, MATH180, SPAN101, PG103, HIST153
7161856, CWLT100, PHYS121, PSYC101, JAPN301, BIOL111, PG104
7168029, SPAN201, ARAB201, MUS105, ECON170, ARTS147, BIOL112
6738965, PSYC101, MUS126, CHEM110, SPAN101, HIST102, ECON170
6830108, BIOL112, IPE201, PHIL228, CHEM115, HIST245, PG103
6734878, ENGL212, ARTS147, ECON170, REL211, PHYS205, CWLT100
6738973, PSYC101, BIOL111, BIOL112, HIST230, PHYS121, CHIN101
7134225, BIOL111, FREN101, BIOL112, REL212, CHEM110, ENGL212
6975509, BIOL112, CWLT100, CHEM110, MUS101, SPAN101, SPAN201
6733030, MATH160, SPAN101, ENGL245, REL211, MATH181, CHEM115
6734054, AFAM101, HIST230, ENGL212, CLSC211, PG104, SOAN102
6830314, SPAN204, BIOL111, MATH160, PG101, IPE191, MATH181
7167209, PSYC101, CSCI161, IPE201, MATH160, GEOL101, ECON170
6738144, PSYC101, ENVR101, ARTS147, SOAN202, PG101, BIOL111
7165162, MUS103, SOAN101, HIST153, PG101, PHIL101, BIOL111
7163108, SPAN101, MUS105, OT101, AFAM101, GEOL101, SPAN201
6733034, HIST153, CHEM115, GERM201, CHEM110, FREN201, CLSC211
6862052, GQS201, SPAN201, BIOL112, AFAM101, MATH180, PHYS121
2493618, GERM101, MUS101, CHEM110, PG102, FREN201, SOAN101
6831357, CHEM110, CLSC211, MATH160, GEOL101, JAPN201, PG101
7168248, BIOL111, MATH160, GQS201, MATH180, LAS100, SPAN101
7165178, SOAN101, CHEM110, COMM156, FREN101, ARAB101, PHYS109
6865138, MUS105, PHIL101, MUS101, AFAM101, BIOL111, SPAN201
7168246, AFAM101, CHEM115, FREN101, PG103, SPAN201, LAS100
7168241, PG102, BIOL111, MUS103, AFAM101, COMM170, PHIL229
6841589, COMM181, MUS103, PG101, SPAN203, CHEM110, PHYS121
6864117, SOAN101, SPAN201, HIST153, PG102, AFAM101, MATH160
7165128, ENGL245, LTS200, MATH160, BIOL111, SPAN101, IPE201
7168200, MATH180, PHIL101, ENGL199, PSYC101, REL204, ARTH276
6734016, SOAN101, ARTS101, ENVR101, MATH290, IPE201, JAPN101
6731969, MUS103, SPAN204, PG104, SPAN201, ENGL212, PSYC101
